ID,Title,Slug,Date,Type,File / URL,Suggested,Decision,Notes
4661,lottery leaflet,lottery-leaflet-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/lottery leaflet.pdf,Keep (recent),,
4663,lottery poster,lottery-poster-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/lottery poster.pdf,Keep (form/reference),,
4639,AGM Poster 2020,agm-poster-2020-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/AGM Poster 2020.pdf,Keep (form/reference),,
4623,2013-08-01hr022managingattendancepolicyv42,2013-08-01hr022managingattendancepolicyv42-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/2013-08-01hr022managingattendancepolicyv42.pdf,Keep (form/reference),,
4625,2014-12-04hr017maternityleaveandpaypolicyv2.2,2014-12-04hr017maternityleaveandpaypolicyv2-2-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/2014-12-04hr017maternityleaveandpaypolicyv2.2.pdf,Keep (form/reference),,
4627,2015-07-01hr021disciplinarypolicyandprocedure3.3,2015-07-01hr021disciplinarypolicyandprocedure3-3-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/2015-07-01hr021disciplinarypolicyandprocedure3.3.pdf,Keep (form/reference),,
4629,2016-07-15 Draft Annual Leave Arrangements v0 32 -January 2019,2016-07-15-draft-annual-leave-arrangements-v0-32-january-2019-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/2016-07-15 Draft Annual Leave Arrangements v0 32 -January 2019.pdf,Keep (recent),,
4631,2018-10-2 OP001 Uniform Work Wear Policy v5.7,2018-10-2-op001-uniform-work-wear-policy-v5-7-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/2018-10-2 OP001 Uniform Work Wear Policy v5.7.pdf,Keep (form/reference),,
4633,Proposed Draft New Operational Rest Break Policy v0. 23 201017 PROPOSED,proposed-draft-new-operational-rest-break-policy-v0-23-201017-proposed-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Proposed Draft New Operational Rest Break Policy v0. 23 201017 PROPOSED.pdf,Keep (form/reference),,
4635,V.8 Fast Track Process Guidance and Flow Charts (003),v-8-fast-track-process-guidance-and-flow-charts-003-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/V.8 Fast Track Process Guidance and Flow Charts (003).pdf,Keep (recent),,
4637,hr014grievancepolicy,hr014grievancepolicy-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/hr014grievancepolicy.pdf,Keep (form/reference),,
4609,Section-2-application-process,section-2-application-process-3,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Section-2-application-process.pdf,Keep (form/reference),,
4611,afc_tc_of_service_handbook_fb,afc_tc_of_service_handbook_fb-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/afc_tc_of_service_handbook_fb.pdf,Keep (recent),,
4613,annex e section 2 comparison guidance,annex-e-section-2-comparison-guidance-3,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/annex e section 2 comparison guidance.pdf,Keep (recent),,
4615,jointunionambulanceparamedicbandingupdatesept2016,jointunionambulanceparamedicbandingupdatesept2016-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/jointunionambulanceparamedicbandingupdatesept2016.pdf,Keep (recent),,
4617,pay-circular-afc-2-2015,pay-circular-afc-2-2015-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/pay-circular-afc-2-2015.pdf,Keep (recent),,
4619,pay-circular-afc-3-2015,pay-circular-afc-3-2015-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/pay-circular-afc-3-2015.pdf,Keep (recent),,
4621,paycircular12016,paycircular12016-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/paycircular12016.pdf,Keep (recent),,
4591,AfC pay bands from 1 April 2017 - FINAL,afc-pay-bands-from-1-april-2017-final-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/AfC pay bands from 1 April 2017 - FINAL.pdf,Keep (recent),,
4593,Ambulance annex 5 - Section 2 tool,ambulance-annex-5-section-2-tool-2,2020-03-25,vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://lasunison.co.uk/wp-content/uploads/mdocs/Ambulance annex 5 - Section 2 tool.xlsx,Keep (recent),,
